Date,Open,High,Low,Close,Adj Close,Volume
2021-01-07,0.715790,0.954311,0.712004,0.859008,0.859008,73383665
2021-01-08,0.859797,0.896662,0.829890,0.852572,0.852572,33812936
2021-01-09,0.852234,0.853124,0.816339,0.819015,0.819015,18158220
2021-01-10,0.819077,0.890044,0.816657,0.847069,0.847069,30493281
2021-01-11,0.846001,0.846032,0.699689,0.740396,0.740396,56629816
2021-01-12,0.740203,0.838609,0.714518,0.749025,0.749025,32318496
2021-01-13,0.747041,0.848130,0.721886,0.821367,0.821367,29486913
2021-01-14,0.821737,0.900902,0.804737,0.831446,0.831446,30663693
2021-01-15,0.831419,0.852006,0.757896,0.791839,0.791839,21542624
2021-01-16,0.792022,0.813537,0.758089,0.761519,0.761519,15020435
2021-01-17,0.761201,0.828745,0.749432,0.807313,0.807313,23241422
2021-01-18,0.807710,0.815730,0.791064,0.799752,0.799752,12917175
2021-01-19,0.799828,1.000317,0.792607,0.910462,0.910462,60245452
2021-01-20,0.910178,0.938727,0.867454,0.904674,0.904674,24589191
2021-01-21,0.904744,0.906441,0.795702,0.796235,0.796235,24484681
2021-01-22,0.795768,0.863740,0.771163,0.813227,0.813227,27699537
2021-01-23,0.813270,0.900708,0.806233,0.900708,0.900708,22818246
2021-01-24,0.901772,0.922561,0.858546,0.907250,0.907250,25070024
2021-01-25,0.907433,0.938766,0.868509,0.870357,0.870357,21912329
2021-01-26,0.870194,1.353840,0.866263,1.265892,1.265892,261899675
2021-01-27,1.268734,1.284446,1.120341,1.123232,1.123232,112674159
2021-01-28,1.123310,1.570307,1.112985,1.454772,1.454772,246448752
2021-01-29,1.472710,1.695704,1.447294,1.475873,1.475873,151889653
2021-01-30,1.473645,1.574038,1.400125,1.433494,1.433494,74765787
2021-01-31,1.433579,1.531013,1.369338,1.461070,1.461070,87289395
2021-02-01,1.459021,1.895228,1.417684,1.792355,1.792355,183865495
2021-02-02,1.796485,2.340503,1.796485,2.340503,2.340503,253258931
2021-02-03,2.347537,2.490363,2.013428,2.104048,2.104048,244705526
2021-02-04,2.105635,2.846560,1.975755,2.643723,2.643723,313114758
2021-02-05,2.656710,3.011779,2.656710,2.870294,2.870294,169253224
2021-02-06,2.867888,2.963732,2.633644,2.684605,2.684605,116055040
2021-02-07,2.677979,3.137260,2.484421,3.046436,3.046436,204601208
2021-02-08,3.065184,6.083691,3.065184,5.785560,5.785560,925338670
2021-02-09,5.751344,7.355403,4.843444,6.437321,6.437321,1153234845
2021-02-10,6.428526,6.956214,5.784061,6.119060,6.119060,459775045
2021-02-11,6.091032,6.488597,5.484725,5.484725,5.484725,301285570
2021-02-12,5.471158,6.130854,5.408517,5.725766,5.725766,354103437
2021-02-13,5.718121,5.977169,5.393499,5.585743,5.585743,189307924
2021-02-14,5.581394,6.147491,5.357629,5.651177,5.651177,234014904
2021-02-15,5.635206,5.853822,4.972562,5.453699,5.453699,261353724
2021-02-16,5.447320,6.708621,5.304282,6.512375,6.512375,459996383
2021-02-17,6.524130,7.442310,5.832053,7.303835,7.303835,578430821
2021-02-18,7.292970,7.519992,6.462905,6.707302,6.707302,267006322
2021-02-19,6.695794,6.884507,6.200101,6.316064,6.316064,204897846
2021-02-20,6.313124,6.738595,5.733764,5.964345,5.964345,195368387
2021-02-21,5.954762,6.360026,5.812677,6.124401,6.124401,156476811
2021-02-22,6.124817,8.406709,5.965200,7.065779,7.065779,731036801
2021-02-23,7.064021,7.114671,5.570102,6.712749,6.712749,578884178
2021-02-24,6.725887,7.662580,6.417242,6.689729,6.689729,347070519
2021-02-25,6.682421,7.208552,5.963476,5.963476,5.963476,247342950
